logsales	lnsqheat	lnsqunht	bedrooms	acres	age	totbaths	numgarge	numfirep	daysmkt	closespr	closesum	closefal	salespr	basement	diningrm	familyrm	office	patio	deck	porch	stycontm	styranch	stytradt	stytrans	brick	cedar	fiber	hardwood	vinyl	elecheat	elemdist	middist	highdist	onestory	sqftheat	squnheat
12.40901349	7.992269	0	4	0.42	4	2.5	2	1	228	1	0	0	245000	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0	1	0	2.0083	7.0417	2.267	0	2958	0
12.37581542	7.583756	5.42495	4	0.1449	13	2.5	1	1	302	0	1	0	237000	0	1	1	0	0	1	0	0	0	0	1	0	0	0	1	0	1	1.4259	2.0082	0.9622	0	1966	227
11.76368418	7.144407	0	3	0.18	20	2	0	0	253	1	0	0	128500	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2.1022	6.9568	2.4415	0	1267	0
12.5776362	7.480992	0	3	1.03	42	2	2	1	211	0	0	0	290000	0	1	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	1.9237	0.9677	4.9341	1	1774	0
12.72486644	7.455877	4.219508	4	1.44	49	3	0	0	312	1	0	0	336000	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1.1295	1.9637	3.5829	0	1730	68
13.33731345	8.191463	6.214608	4	0.25	0	4	2	1	85	0	0	0	619900	0	1	1	0	0	1	1	0	0	1	0	0	0	1	0	0	0	1.7136	3.6569	3.0759	0	3610	500
13.57978822	8.040769	5.955837	4	0.69	63	5	0	2	0	0	1	0	790000	1	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	2.2955	0.6605	4.4883	0	3105	386
12.5299661	7.463363	0	3	3	4	2	0	1	202	0	0	0	276500	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	2.3675	1.866	3.4257	0	1743	0
12.72783821	7.8411	0	3	4.34	16	2.5	0	1	133	0	0	0	337000	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2.4356	2.4144	2.499	1	2543	0
13.29631668	8.192017	6.60665	4	5.69	4	3.5	1	1	102	0	0	0	595000	0	1	1	1	1	0	1	0	0	0	1	0	1	0	0	0	0	2.67	3.8158	5.2074	0	3612	740
12.24282879	7.755767	0	4	0.26	0	2.5	2	1	156	0	0	0	207488	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	2.5795	6.4716	2.0394	0	2335	0
12.99063607	8.00236	6.499787	4	0.75	0	3.5	2	1	192	0	0	0	438290	0	1	1	0	0	1	1	0	0	1	0	0	0	1	0	0	0	2.5925	1.3893	0.6109	0	2988	665
13.05359834	8.067149	6.327937	4	0.38	0	3	2	1	36	0	0	0	466773	0	1	1	0	0	1	1	0	0	1	0	0	0	1	0	0	0	3.1951	1.668	1.379	0	3188	560
12.18075484	7.426549	4.955827	3	0.09	10	2.5	0	1	233	1	0	0	195000	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0.5592	0.9948	3.291	0	1680	142
12.80765263	8.024535	7.601402	4	1.25	3	3.5	2	2	170	0	0	0	365000	1	1	1	1	0	1	1	0	0	0	1	0	0	1	0	0	1	5.7678	5.5651	7.3014	0	3055	2001
13.36922346	8.29405	6.850126	5	0.5	1	4.5	2	2	325	0	1	0	640000	1	1	1	1	1	1	1	0	0	1	0	1	0	0	0	0	1	0.5598	1.3836	0.2182	0	4000	944
12.70684793	7.990915	6.88551	4	0.25	3	2.5	2	1	96	0	0	0	330000	1	1	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0.4518	1.6361	0.4654	0	2954	978
12.14366519	7.26403	0	3	0.13	14	2	0	1	193	1	0	0	187900	0	1	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0.4435	1.3374	2.1566	0	1428	0
12.31492705	7.61776	5.805135	4	0.72	3	2.5	2	1	239	1	0	0	223000	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1.3698	1.1919	2.9045	0	2034	332
13.30468493	8.18228	0	5	0.55	0	4	3	1	222	0	1	0	600000	0	1	1	1	1	0	1	0	0	1	0	0	0	1	0	0	0	2.9331	1.6246	0.8946	0	3577	0
12.68230682	7.714231	0	3	0.95	22	2.5	2	1	147	0	0	0	322000	0	1	0	0	1	1	0	0	1	0	0	1	0	0	0	0	1	1.7042	2.6133	0.5595	1	2240	0
12.70684793	7.582229	0	3	0.52	47	3	0	2	162	0	0	0	330000	1	1	1	1	1	0	1	0	0	1	0	0	1	0	0	0	0	2.2019	1.8704	4.0904	1	1963	0
12.36093736	7.5224	5.407172	4	0.22	75	2	0	1	360	0	1	0	233500	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0.3182	0.6854	1.396	0	1849	223
12.88916949	8.031385	0	4	0.12	3	3.5	2	1	175	0	0	0	396000	0	1	1	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0.4929	0.5187	4.3215	0	3076	0
12.34933281	7.672292	5.786897	3	0.04	1	3.5	2	1	100	0	0	0	230806	0	0	1	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0.917	1.1623	3.4445	0	2148	326
13.26992094	8.070906	4.787492	4	0.83	22	3.5	0	1	196	0	0	0	579500	0	1	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0.9793	2.6105	3.1246	0	3200	120
13.21585372	8.105609	0	4	0.22	1	3.5	2	1	82	0	0	0	549000	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1.4358	3.3422	3.3283	0	3313	0
11.94470788	7.162397	0	1	4.59	28	1.5	0	1	199	0	0	0	154000	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0.6675	8.6172	3.8429	1	1290	0
12.3863087	7.486053	0	3	0.42	42	2.5	1	1	130	0	0	0	239500	1	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0.1285	0.1579	2.0598	1	1783	0
11.81303006	7.32975	0	3	0	25	2.5	0	1	180	0	0	0	135000	0	1	0	0	0	1	1	1	0	0	0	0	1	0	0	0	1	2.8169	0.7927	2.0287	0	1525	0
12.89921983	7.74457	5.886104	4	0.4	36	3.5	1	3	173	1	0	0	400000	1	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0.525	1.9109	2.6297	0	2309	360
12.1542529	7.629004	0	4	0.41	6	2.5	2	1	114	0	0	0	189900	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0	1	0	1.0554	6.9482	1.0845	0	2057	0
13.26195139	8.29405	0	5	2.05	5	4	2	1	218	1	0	0	574900	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1.8709	1.8544	2.5683	0	4000	0
12.01370075	7.319865	5.075174	3	0.93	24	2	0	1	65	0	0	0	165000	0	1	0	0	0	1	1	0	0	0	1	0	0	0	1	0	1	2.191	2.383	3.6273	1	1510	160
12.87133462	7.707512	6.79794	5	0.62	41	4	1	3	184	1	0	0	389000	1	1	1	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0.3157	0.4396	1.8236	0	2225	896
11.59910316	7.177782	0	2	0.35	82	1	0	1	183	1	0	0	109000	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1.4551	1.8984	0.1617	1	1310	0
12.71889627	7.517521	4.49981	3	0.6	37	2.5	2	2	67	0	0	0	334000	1	1	1	1	1	0	1	1	0	0	0	0	0	0	1	0	0	1.0877	1.1637	1.1599	1	1840	90
